,user,text,favorite_count,retweet_count,created_at
0,elonmusk,RT @SpaceX: Falcon 9’s first stage has landed on Landing Zone 2 https://t.co/gsYNbOQBeE,0,474,2025-04-22 05:31:26+00:00
1,elonmusk,"RT @ElonClipsX: Elon Musk: As bad as Twitter was, the federal government is much worse. At least, Twitter passed audits.

“Twitter was at l…",0,53,2025-04-22 05:31:12+00:00
2,elonmusk,"RT @MarioNawfal: 🇺🇸 THE WAIT IS ALMOST OVER: TESLA’S SUPERCHARGED DRIVE-IN NEARS OPENING

The 1950s-style Tesla Diner in Los Angeles is fin…",0,67,2025-04-22 05:30:51+00:00
3,elonmusk,"RT @ElonClipsX: Marc Benioff: Elon clearly sees the future. No one's like this.

“I want to get to the future first and welcome our custome…",0,82,2025-04-22 05:21:23+00:00
4,elonmusk,RT @SpaceX: Liftoff! https://t.co/uU6coB7Lj3,0,699,2025-04-22 05:20:53+00:00
5,elonmusk,@Rothmus 😂,174,12,2025-04-22 05:20:31+00:00
6,elonmusk,RT @SpaceX: More photos and video from this morning's Falcon 9 launch of Dragon's 32nd Commercial Resupply Services mission to the @Space_S…,0,1643,2025-04-21 22:39:03+00:00
7,elonmusk,Starlink factory in Texas https://t.co/szmp4YerRv,205177,15467,2025-04-21 22:38:45+00:00
8,elonmusk,"RT @FoxNews: ""The truth is simple: in today’s America, the regulatory state isn’t solving problems — it is the problem.""

Ohio gubernatoria…",0,1631,2025-04-21 19:23:33+00:00
9,elonmusk,🎯 https://t.co/bcMZLov2La,246823,30942,2025-04-21 19:15:05+00:00
10,elonmusk,"RT @durov: Last month, France nearly banned encryption. A law requiring messaging apps to implement a backdoor for police access to private…",0,2506,2025-04-21 19:14:10+00:00
11,elonmusk,"RT @JDVance: It was an honor to see Prime Minister Modi this evening. He’s a great leader and he was incredibly kind to my family. 

I look…",0,5951,2025-04-21 19:13:50+00:00
12,elonmusk,@PeteHegseth @WhiteHouse It was great 😂,3307,209,2025-04-21 18:00:27+00:00
13,elonmusk,"RT @Tesla_Megapack: 100 MW / 200 MWh of Megapacks have been delivered and installed at @Harmony_Energy_ Cheviré site, located in the port o…",0,1156,2025-04-21 17:47:32+00:00
14,elonmusk,@TheBabylonBee 🤨,2571,155,2025-04-21 17:47:12+00:00
15,elonmusk,😂 https://t.co/kvqZYt8Mgb,90390,10765,2025-04-21 14:41:45+00:00
16,elonmusk,Cool https://t.co/8UHRI0yqzv,99360,10641,2025-04-21 14:41:19+00:00
17,elonmusk,"@stillgray Wow, Christians are now a minority in Vienna schools!",1534,189,2025-04-21 14:40:32+00:00
18,elonmusk,@charliekirk11 💯,3198,211,2025-04-21 14:38:23+00:00
19,elonmusk,@SawyerMerritt @Tesla The Tesla solar roof is beautiful,2152,134,2025-04-21 14:38:02+00:00
20,elonmusk,@PatriotBlazer Both video and audio directly to the brain will be possible. Even touch and smell.,1133,102,2025-04-21 14:36:14+00:00
21,elonmusk,RT @SpaceX: Falcon 9 launches Dragon and CRS-32 to the @Space_Station and lands at LZ-1 https://t.co/esQ8SJzvlT,0,2017,2025-04-21 14:34:51+00:00
22,elonmusk,"RT @karlmehta: 1/ The Government Fraud That Could Prosecute Thousands

Remember Oliver North from Iran-Contra? Prosecuted for mislabeling f…",0,3175,2025-04-21 14:29:45+00:00
23,elonmusk,Doesn’t make sense https://t.co/Dp60GluziL,66481,13586,2025-04-21 14:09:37+00:00
24,elonmusk,RT @tim_cook: Joining people around the world in mourning Pope Francis today. He lived a life of extraordinary grace and deep compassion. M…,0,2430,2025-04-21 14:05:23+00:00
25,elonmusk,@GuntherEagleman True,1482,117,2025-04-21 14:04:50+00:00
26,elonmusk,@PlanetOfMemes @cb_doge 🎯,794,60,2025-04-21 14:04:31+00:00
27,elonmusk,@DefiyantlyFree Hmm,1645,161,2025-04-21 14:03:45+00:00
28,elonmusk,@GuntherEagleman Yes,2414,187,2025-04-21 13:02:57+00:00
29,elonmusk,@tunguz Too late,1413,65,2025-04-21 12:28:18+00:00
30,elonmusk,@libsoftiktok Wow,4138,275,2025-04-21 12:22:07+00:00
31,elonmusk,"@AdamLowisz @wudijo @Zizaran So long as I don’t play League, it will be ok",1056,65,2025-04-21 06:17:52+00:00
32,elonmusk,@MoreBirths Does seem that way,740,52,2025-04-21 06:13:49+00:00
33,elonmusk,@wudijo @Zizaran Congrats! Maybe I should try this game.,872,47,2025-04-21 06:13:04+00:00
34,elonmusk,"RT @cb_doge: If you meet someone who still blindly believes everything on the news, just send them some links from 𝕏.com",0,1683,2025-04-21 06:00:03+00:00
35,elonmusk,"RT @MarioNawfal: ELON: THE WOKE MIND VIRUS IS LIKE A WOKE RELIGION

“When you have essentially a decline in religion, an increase in the se…",0,3630,2025-04-21 05:49:57+00:00
36,elonmusk,"RT @ray4tesla: PC AUTO, a known Chinese auto publication, recently reviewed intelligent driving systems from eight major brands: Huawei, BY…",0,1499,2025-04-21 05:45:39+00:00
37,elonmusk,Cool https://t.co/yZUgrNtYsy,29710,4716,2025-04-21 05:28:02+00:00
38,elonmusk,RT @Rothmus: 🎯 https://t.co/PR197ysBcb,0,2030,2025-04-21 05:24:10+00:00
39,elonmusk,@ElonClipsX ❤️,1683,84,2025-04-21 05:17:21+00:00
40,elonmusk,@MarioNawfal 😳,1329,120,2025-04-21 05:08:29+00:00
41,elonmusk,@PeteHegseth @TheDemocrats 🎯,4321,256,2025-04-21 05:06:29+00:00
42,elonmusk,"This is the woke mind virus in action. 

Now, it is time for the mind virus to die. https://t.co/uaNfECD9cJ",122510,20718,2025-04-21 05:06:09+00:00
43,elonmusk,@petergyang @grok @xai 😢,1226,37,2025-04-21 04:36:22+00:00
44,elonmusk,@waitbutwhy Are they imprinting on you?,1123,71,2025-04-21 00:42:46+00:00
45,elonmusk,"@mrsunbubbles @angela_walch @APompliano @wesbury If no one ever does serious verification, then the fraud will of course keep building to extreme levels.

That’s what we see at the federal level.",1404,163,2025-04-20 19:46:03+00:00
46,elonmusk,Doges! https://t.co/eSnzk75Bor,288166,25731,2025-04-20 19:36:05+00:00
47,elonmusk,"RT @Starlink: Starlink is providing high-speed internet to more than 350K active Australian customers, connecting ~4.20% of homes across th…",0,1639,2025-04-20 19:32:14+00:00
48,elonmusk,@AlexanderSoros Um … you too,4986,227,2025-04-20 16:08:41+00:00
49,elonmusk,"@tunguz Just tap on the @Grok symbol to analyze anything!
https://t.co/lRJZt9N5Qh",3865,129,2025-04-20 16:07:29+00:00
50,elonmusk,@amuse Wow,1247,87,2025-04-20 16:05:40+00:00
51,elonmusk,@amuse 💯,1300,103,2025-04-20 15:58:59+00:00
52,elonmusk,"@amuse I don’t play golf, but a nice walk in what is essentially a beautiful park is still great",4058,192,2025-04-20 15:56:16+00:00
53,elonmusk,@SnoopDogg 😂❤️,1679,95,2025-04-20 15:54:20+00:00
54,elonmusk,@JDVance You too!,6076,183,2025-04-20 15:46:05+00:00
55,elonmusk,@GuntherEagleman Insane!,2265,222,2025-04-20 15:45:21+00:00
56,elonmusk,@cb_doge Let’s find out!,2576,187,2025-04-20 14:24:44+00:00
57,elonmusk,Happy Easter!,499896,36351,2025-04-20 14:04:29+00:00
58,elonmusk,History of slavery https://t.co/EBZXFzn3SW,43286,8907,2025-04-20 06:42:11+00:00
59,elonmusk,@GuntherEagleman 😂,4495,178,2025-04-20 06:01:26+00:00
60,elonmusk,"@TheFigen_ Beautiful, but their call is rather strident",1045,75,2025-04-20 05:58:25+00:00
61,elonmusk,RT @Rothmus: 💯 https://t.co/C78HuNJ0NE,0,9607,2025-04-20 05:56:03+00:00
62,elonmusk,"True 
 https://t.co/6zQWVO8rWB",153348,27033,2025-04-20 05:55:02+00:00
63,elonmusk,"RT @DefiyantlyFree: According to the Migration Policy Institute and ACLU, approximately 75% of deportations under the Obama administration…",0,8187,2025-04-20 05:54:09+00:00
